DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130121,302.0,1336.699989319,117.79200172430000,330.4000053406,18.74000024795,63.954999983311,29.949100494380000,1234.39999997616,46.0140004158,24.512399971485,11302.0,540.576999698,7058.0,,657.0,12240.0,10511.0,1.0,6300.0,,,,,,,,,,,2.0,130.0,125.0,902.0,451.0,0.0,121.0,13560.0,19467.0,5907.0,73.0,
20130122,303.19999694800000,1500.499969482,131.20000457770000,164.1000061035,23.9000005722,78.7000007629,22.60000038146,2275.5,34.400000095370000,33.899999618500000,11375.0,433.208398333,8703.0,,660.0,3240.0,12842.0,2.0,5100.0,,,,,,,,,,,2.0,140.0,1439.0,2493.0,358.0,2.0,1433.0,14872.0,20452.0,5580.0,80.0,
20130123,385.19999694800000,1632.6999893189,153.0800014496,110.0,26.600000405310000,80.925000756939,42.106500363340000,1467.70000004768,44.31000032723,30.965999662842000,9078.0,286.946999311,7212.0,,644.0,5040.0,10554.0,1.0,3600.0,,,,,,,,,,,3.0,180.0,51.0,257.0,457.0,0.0,47.0,15600.0,24403.0,8803.0,89.0,
20130124,50.0,1249.9799824519,118.18333652027000,95.9700061035,20.08166687726,65.03766668948,26.850000202651,1669.513333992840,52.00000000149,19.875000023842,12555.0,513.893998764,9338.0,,891.0,6600.0,13614.0,2.0,6300.0,,,,,,,,,,,5.0,300.0,73.0,690.0,447.0,0.0,62.0,16222.0,22522.0,6300.0,87.0,
20130125,417.0,1465.7999877930000,109.3999996185,156.0,31.40000009537,78.0,23.800000011921,2126.400009155,61.4000005722,39.9999990463,7028.0,241.415000148,8556.0,,900.0,10380.0,12893.0,0.0,0.0,2228.0,5062.0,2371.0,2.0,2216.0,2460.0,4766.0,2306.0,13.0,,2.0,140.0,1419.0,1091.0,448.0,0.0,1408.0,18014.0,28214.0,10200.0,100.0,
20130126,547.0,1916.199984789,95.9360001087,304.0,25.99000000954,124.94200003147,30.035099999980000,2769.600000024,42.82100000978,54.1486990489,9333.0,323.75699991,11288.0,,1612.0,5220.0,17085.0,0.0,0.0,,,,,,,,,,,1.0,70.0,116.0,705.0,582.0,1.0,112.0,18480.0,27511.0,9031.0,97.0,
20130127,441.0,1141.5,124.0,100.5,13.0,69.9449996948,10.100500002503,3337.0,53.0,18.1875,10072.0,339.752000786,11942.0,,2204.0,10200.0,18231.0,0.0,0.0,,,,,,,,,,,3.0,170.0,139.0,1718.0,488.0,1.0,123.0,11073.0,20193.0,9120.0,68.0,
20130128,138.0,1324.39998173668,138.8000030518,111.6000061035,25.40000019073,63.5,30.80000019073,1422.5,48.7,3.0,4919.0,175.406000227,6150.0,,649.0,10740.0,9170.0,0.0,0.0,0.0,3519.0,-379.0,1.0,-4.0,1080.0,-24300.0,3420.0,9.0,,1.0,60.0,448.0,3585.0,1087.0,2.0,442.0,3300.0,35880.0,3780.0,20.0,
20130129,615.199996948,1874.6999893191,114.9000015259,347.5,29.200000524524,74.40000104899000,50.500000312922,2509.7000017165,48.60000045598,62.69999980920000,6220.0,171.0139999686,4764.0,,1353.0,24180.0,7075.0,1.0,2700.0,,,,,,,,,,,2.0,120.0,50.0,0.0,485.0,0.0,50.0,0.0,26100.0,0.0,0.0,
20130130,381.7000007629,1612.2650032044000,100.75999975201,280.83500003815,26.92000022531,51.500000417231,54.175000697370000,2209.76500988007,43.87999951836300,39.42500090602,9343.0,321.088867139,7545.0,39540.0,627.0,5520.0,11163.0,1.0,3600.0,49.0,1059.0,72.0,0.0,32.0,480.0,1395.0,915.0,3.0,,2.0,120.0,60.0,0.0,455.0,0.0,60.0,0.0,23700.0,0.0,0.0,
